epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8418,1.57315,4.1891,1.59502,0.00333,1,0.00367,0.002,0.78144,4.46753,0.97482,2e-05,2e-05,2e-05
2,34.5536,1.56766,4.13037,1.45954,0.00333,1,0.00416,0.00163,0.76043,4.27356,0.93463,5.406e-05,5.406e-05,5.406e-05
3,47.6502,1.34113,3.77404,1.4913,0.00333,1,0.00489,0.00183,0.7675,4.28432,0.92042,8.02e-05,8.02e-05,8.02e-05
4,60.677,1.15204,3.53011,1.27342,0.00333,1,0.00478,0.00215,0.82514,4.25063,0.94444,9.842e-05,9.842e-05,9.842e-05
5,73.6649,1.12534,3.28361,1.18878,0.00333,1,0.00444,0.002,0.81152,4.24106,0.94581,0.00010872,0.00010872,0.00010872
6,87.6945,0.97663,2.89865,1.10463,0.00333,1,0.00427,0.00192,0.83901,4.24066,0.93165,0.0001111,0.0001111,0.0001111
7,100.916,0.98542,2.61804,1.11902,0.00333,1,0.0043,0.00225,0.85294,4.17938,0.91468,0.00010556,0.00010556,0.00010556
8,114.322,0.96071,2.48436,1.16682,0.00333,1,0.12591,0.01506,0.95835,3.96961,0.89791,9.21e-05,9.21e-05,9.21e-05
9,129.304,0.9268,2.10825,1.05096,0.00333,1,0.20708,0.03534,0.96598,3.90245,0.89471,7.072e-05,7.072e-05,7.072e-05
10,142.048,1.05368,2.18161,1.06785,0.00333,1,0.21466,0.04496,0.96843,3.91122,0.88662,4.142e-05,4.142e-05,4.142e-05
